"university","acronym","url.university","url.repository","type","city","fundation","number.professor","number.student","size.university","size.repository","ranking.rwwu","ranking.alexa","latitude","longitude"
"Universidad Abierta de Cataluña","UOC","https://www.uoc.edu/","http://openaccess.uoc.edu/webapps/o2/","Public","Barcelona",1994,3346,52513,55859,7897,851,10849,41.414803,2.133556
"Universidad Autónoma de Barcelona","UAB","http://www.uab.cat/","http://ddd.uab.cat/","Public","Sardañola del Vallés",1968,3514,36617,40131,84125,156,16019,41.500278,2.107778
"Universidad Autónoma de Madrid","UAM","http://www.uam.es/","https://repositorio.uam.es/","Public","Madrid",1968,2581,26445,29026,28021,255,16401,40.5453,-3.69611
"Universidad Carlos III de Madrid","UC3M","http://www.uc3m.es/","http://e-archivo.uc3m.es/","Public","Getafe",1989,1665,16759,18424,20395,485,21426,40.31625,-3.726788
"Universidad Católica de San Antonio","UCAM","http://www.ucam.edu/","http://repositorio.ucam.edu/","Private","Guadalupe",1996,788,10580,11368,518,2308,83327,37.9917,-1.1844
"Universidad CEU","CEU","http://www.ceu.com/","http://dspace.ceu.es/","Private","Madrid",1993,801,8108,8909,5629,2496,234531,40.4082,-3.8412
"Universidad Complutense de Madrid","UCM","http://www.ucm.es/","http://eprints.ucm.es/","Public","Madrid",1822,6868,73645,80513,32204,142,6284,40.449167,-3.728056
"Universidad de Alcalá","UAH","https://www.uah.es/","http://dspace.uah.es/dspace/","Public","Alcalá de Henares",1977,1213,28950,30163,10420,671,27968,40.482925,-3.363131
"Universidad de Alicante","UA","http://www.ua.es/","http://rua.ua.es/dspace/","Public","San Vicente del Raspeig",1979,2166,27949,30115,38305,369,16169,38.3836,-5.12
"Universidad de Almería","UAL","http://www.ual.es/","http://repositorio.ual.es/","Public","Almería",1993,1002,12758,13760,3379,950,33910,36.8293,-2.40442
"Universidad de Barcelona","UB","http://www.ub.edu/","http://diposit.ub.edu/dspace/","Public","Barcelona",1450,5312,63020,68332,27162,116,9663,41.386667,2.163889
"Universidad de Burgos","UBU","https://www.ubu.es/","http://riubu.ubu.es/","Public","Burgos",1994,827,8500,9327,3465,1415,88167,42.341111,-3.728333
"Universidad de Cádiz","UCA","http://www.uca.es/","http://rodin.uca.es/xmlui/","Public","Cádiz",1979,1808,19666,21474,10853,748,26652,36.535833,-6.294167
"Universidad de Cantabria","UNICAN","http://web.unican.es/","http://repositorio.unican.es/xmlui/","Public","Santander",1972,1194,11152,12346,7585,499,25838,43.4733,-3.80111
"Universidad de Castilla-La Mancha","UCLM","http://www.uclm.es/","https://ruidera.uclm.es/","Public","Ciudad Real",1985,2304,26868,29172,4097,438,22079,38.9934081,-3.9255471
"Universidad de Córdoba","UCO","http://www.uco.es/","http://helvia.uco.es/xmlui/","Public","Córdoba",1972,1443,18053,19496,13177,459,30391,37.8847,-4.78833
"Universidad de Deusto","DEUSTO","http://www.deusto.es/","http://loyola.biblioteca.deusto.es/","Private","Bilbao",1886,572,9854,10426,922,1435,58312,43.2712,-2.9385
"Universidad de Extremadura","UNEX","http://www.unex.es/","http://dehesa.unex.es/","Public","Badajoz",1973,1857,24530,26387,4183,698,43082,38.8834,-7.0052
"Universidad de Gerona","UDG","http://www.udg.edu/","http://dugi-doc.udg.edu/","Public","Gerona",1991,1337,14220,15557,11387,581,50917,41.985833,2.827222
"Universidad de Granada","UGR","https://www.ugr.es/","http://digibug.ugr.es/","Public","Granada",1531,3761,55508,59269,33424,180,10235,37.184889,-3.600944
"Universidad de Huelva","UHU","http://www.uhu.es/","http://rabida.uhu.es/dspace/","Public","Huelva",1993,900,12248,13148,11927,796,32857,37.2709335,-6.9245498
"Universidad de Jaén","UJAEN","http://www.ujaen.es/","http://ruja.ujaen.es/","Public","Jaén",1993,902,16124,17026,345,860,35717,37.786111,-3.774167
"Universidad de La Coruña","UDC","https://www.udc.es/","http://ruc.udc.es/dspace/","Public","La Coruña",1989,1464,19724,21188,13056,725,35566,43.3506,-8.41595
